Timestamp,count,num
2014/6/6 8:03,5,1
2014/6/6 8:04,12,2
2014/6/6 8:05,14,3
2014/6/6 8:06,1,4
2014/6/6 8:07,47,5
2014/6/6 8:08,101,6
2014/6/6 8:09,30,7
2014/6/6 8:10,90,8
2014/6/6 8:11,250,9
2014/6/6 8:12,201,10
2014/6/6 8:13,305,11
2014/6/6 8:14,381,12
2014/6/6 8:15,348,13
2014/6/6 8:16,188,14
2014/6/6 8:17,499,15
2014/6/6 8:18,461,16
2014/6/6 8:19,509,17
2014/6/6 8:20,504,18
2014/6/6 8:21,405,19
2014/6/6 8:22,68,20
2014/6/6 8:23,102,21
2014/6/6 8:24,156,22
2014/6/6 8:25,305,23
2014/6/6 8:26,427,24
2014/6/6 8:27,337,25
2014/6/6 8:28,302,26
2014/6/6 8:29,418,27
2014/6/6 8:30,347,28
2014/6/6 8:31,313,29
2014/6/6 8:32,388,30
2014/6/6 8:33,386,31
2014/6/6 8:34,778,32
2014/6/6 8:35,306,33
2014/6/6 8:36,363,34
2014/6/6 8:37,310,35
2014/6/6 8:38,732,36
2014/6/6 8:39,952,37
2014/6/6 8:40,692,38
2014/6/6 8:41,584,39
2014/6/6 8:42,507,40
2014/6/6 8:43,373,41
2014/6/6 8:44,508,42
2014/6/6 8:45,540,43
2014/6/6 8:46,596,44
2014/6/6 8:47,394,45
2014/6/6 8:48,442,46
2014/6/6 8:49,839,47
2014/6/6 8:50,748,48
2014/6/6 8:51,534,49
2014/6/6 8:52,754,50
2014/6/6 8:53,1187,51
2014/6/6 8:54,979,52
2014/6/6 8:55,794,53
2014/6/6 8:56,859,54
2014/6/6 8:57,631,55
2014/6/6 8:58,847,56
2014/6/6 8:59,535,57
2014/6/6 9:00,746,58
2014/6/6 9:01,787,59
2014/6/6 9:02,1181,60
2014/6/6 9:03,1090,61
2014/6/6 9:04,532,62
2014/6/6 9:05,892,63
2014/6/6 9:06,645,64
2014/6/6 9:07,929,65
2014/6/6 9:08,1195,66
2014/6/6 9:09,1110,67
2014/6/6 9:10,837,68
2014/6/6 9:11,847,69
2014/6/6 9:12,346,70
2014/6/6 9:13,496,71
2014/6/6 9:14,744,72
2014/6/6 9:15,838,73
2014/6/6 9:16,736,74
2014/6/6 9:17,575,75
2014/6/6 9:18,1078,76
2014/6/6 9:19,772,77
2014/6/6 9:20,512,78
2014/6/6 9:21,973,79
2014/6/6 9:22,1273,80
2014/6/6 9:23,744,81
2014/6/6 9:24,419,82
2014/6/6 9:25,692,83
2014/6/6 9:26,1041,84
2014/6/6 9:27,767,85
2014/6/6 9:28,823,86
2014/6/6 9:29,673,87
2014/6/6 9:30,683,88
2014/6/6 9:31,946,89
2014/6/6 9:32,965,90
2014/6/6 9:33,608,91
2014/6/6 9:34,677,92
2014/6/6 9:35,965,93
2014/6/6 9:36,1058,94
2014/6/6 9:37,1040,95
2014/6/6 9:38,732,96
2014/6/6 9:39,847,97
2014/6/6 9:40,597,98
2014/6/6 9:41,1503,99
2014/6/6 9:42,757,100
2014/6/6 9:43,821,101
2014/6/6 9:44,536,102
2014/6/6 9:45,920,103
2014/6/6 9:46,678,104
2014/6/6 9:47,1277,105
2014/6/6 9:48,1154,106
2014/6/6 9:49,758,107
2014/6/6 9:50,750,108
2014/6/6 9:51,757,109
2014/6/6 9:52,491,110
2014/6/6 9:53,647,111
2014/6/6 9:54,490,112
2014/6/6 9:55,550,113
2014/6/6 9:56,1513,114
2014/6/6 9:57,1269,115
2014/6/6 9:58,1305,116
2014/6/6 9:59,799,117
2014/6/6 10:00,392,118
2014/6/6 10:01,500,119
2014/6/6 10:02,650,120
2014/6/6 10:03,866,121
2014/6/6 10:04,810,122
2014/6/6 10:05,1033,123
2014/6/6 10:06,1139,124
2014/6/6 10:07,898,125
2014/6/6 10:08,603,126
2014/6/6 10:09,579,127
2014/6/6 10:10,780,128
2014/6/6 10:11,628,129
2014/6/6 10:12,1096,130
2014/6/6 10:13,1392,131
2014/6/6 10:14,1349,132
2014/6/6 10:15,1111,133
2014/6/6 10:16,681,134
2014/6/6 10:17,624,135
2014/6/6 10:18,1372,136
2014/6/6 10:19,1109,137
2014/6/6 10:20,1430,138
2014/6/6 10:21,976,139
2014/6/6 10:22,1273,140
2014/6/6 10:23,639,141
2014/6/6 10:24,1123,142
2014/6/6 10:25,882,143
2014/6/6 10:26,779,144
2014/6/6 10:27,670,145
2014/6/6 10:28,552,146
2014/6/6 10:29,540,147
2014/6/6 10:30,958,148
2014/6/6 10:31,641,149
